organization_code_iata,organization_code_icao,period_start_date,period_end_date,accounting_period,passenger_load_factor_pct
MU,CES,2020-01-01,2020-01-31,Month 1,75.2745329561281
MU,CES,2020-02-01,2020-02-29,Month 2,51.280827113212
MU,CES,2020-03-01,2020-03-31,Month 3,56.3270647842577
MU,CES,2020-04-01,2020-04-30,Month 4,65.0726228221386
MU,CES,2020-05-01,2020-05-31,Month 5,66.3481775428586
MU,CES,2020-06-01,2020-06-30,Month 6,68.9373403711288
MU,CES,2020-07-01,2020-07-31,Month 7,74.426393207113
MU,CES,2020-08-01,2020-08-31,Month 8,74.8249688842929
MU,CES,2020-09-01,2020-09-30,Month 9,77.8625248050578
MU,CES,2020-10-01,2020-10-31,Month 10,76.5557650541127
MU,CES,2020-11-01,2020-11-30,Month 11,71.6245748610636
MU,CES,2020-12-01,2020-12-31,Month 12,68.6847872479153
CZ,CSN,2020-01-01,2020-01-31,Month 1,76.1197165940747
CZ,CSN,2020-02-01,2020-02-29,Month 2,47.2070132936028
CZ,CSN,2020-03-01,2020-03-31,Month 3,59.7858577041071
CZ,CSN,2020-04-01,2020-04-30,Month 4,63.9317773409248
CZ,CSN,2020-05-01,2020-05-31,Month 5,65.3674504528957
CZ,CSN,2020-06-01,2020-06-30,Month 6,68.2207003387489
CZ,CSN,2020-07-01,2020-07-31,Month 7,71.8083966179577
CZ,CSN,2020-08-01,2020-08-31,Month 8,71.7815933283788
CZ,CSN,2020-09-01,2020-09-30,Month 9,76.747850332917
CZ,CSN,2020-10-01,2020-10-31,Month 10,75.4947613369313
CZ,CSN,2020-11-01,2020-11-30,Month 11,72.8121284678449
CZ,CSN,2020-12-01,2020-12-31,Month 12,69.7352789582049
HU,,2020-01-01,2020-01-31,Month 1,75.3112926803801
HU,,2020-02-01,2020-02-29,Month 2,39.9830999382925
HU,,2020-03-01,2020-03-31,Month 3,61.5026932217715
HU,,2020-04-01,2020-04-30,Month 4,70.6986666053347
HU,,2020-05-01,2020-05-31,Month 5,76.4237902161656
HU,,2020-06-01,2020-06-30,Month 6,75.239592363122
HU,,2020-07-01,2020-07-31,Month 7,78.4166232938167
HU,,2020-08-01,2020-08-31,Month 8,77.0944159497898
HU,,2020-09-01,2020-09-30,Month 9,80.4871822881717
HU,,2020-10-01,2020-10-31,Month 10,78.5795045101011
HU,,2020-11-01,2020-11-30,Month 11,75.6000560765593
HU,,2020-12-01,2020-12-31,Month 12,75.2678390944007
C5,UCA,2020-01-01,2020-01-31,Month 1,78.4464016740219
C5,UCA,2020-02-01,2020-02-29,Month 2,80.0975366170391
C5,UCA,2020-03-01,2020-03-31,Month 3,50.7105395202348
C5,UCA,2020-04-01,2020-04-30,Month 4,8.91600032020208
C5,UCA,2020-05-01,2020-05-31,Month 5,26.7072810306677
C5,UCA,2020-06-01,2020-06-30,Month 6,50.401423361809
C5,UCA,2020-07-01,2020-07-31,Month 7,45.1916173988202
C5,UCA,2020-08-01,2020-08-31,Month 8,46.9347904440283
C5,UCA,2020-09-01,2020-09-30,Month 9,62.1439101229652
C5,UCA,2020-10-01,2020-10-31,Month 10,71.0707510804334
C5,UCA,2020-11-01,2020-11-30,Month 11,65.1406181712575
C5,UCA,2020-12-01,2020-12-31,Month 12,68.0682395801084
C5,UCA,2021-01-01,2021-01-31,Month 1,54.229738664279
C5,UCA,2021-02-01,2021-02-28,Month 2,62.1016878480726
C5,UCA,2021-03-01,2021-03-31,Month 3,71.2546508039592
C5,UCA,2021-04-01,2021-04-30,Month 4,77.9600193943668
C5,UCA,2021-05-01,2021-05-31,Month 5,81.4396237733632
C5,UCA,2021-06-01,2021-06-30,Month 6,80.7143186254119
DE,CFG,2020-01-01,2020-01-31,Month 1,89.527027027027
DE,CFG,2020-02-01,2020-02-29,Month 2,91.3435527502254
DE,CFG,2020-03-01,2020-03-31,Month 3,80.2865329512894
DE,CFG,2020-04-01,2020-04-30,Month 4,62.2222222222222
DE,CFG,2020-05-01,2020-05-31,Month 5,63.2352941176471
DE,CFG,2020-06-01,2020-06-30,Month 6,51.5151515151515
DE,CFG,2020-07-01,2020-07-31,Month 7,64.321608040201
DE,CFG,2020-08-01,2020-08-31,Month 8,72.887323943662
DE,CFG,2020-09-01,2020-09-30,Month 9,71.9758064516129
DE,CFG,2020-10-01,2020-10-31,Month 10,72.5414332295647
DE,CFG,2020-11-01,2020-11-30,Month 11,63.4920634920635
DE,CFG,2020-12-01,2020-12-31,Month 12,62.6984126984127
DE,CFG,2021-01-01,2021-01-31,Month 1,69.0987124463519
DE,CFG,2021-02-01,2021-02-28,Month 2,74.5945945945946
DE,CFG,2021-03-01,2021-03-31,Month 3,67.8082191780822
DE,CFG,2021-04-01,2021-04-30,Month 4,62.1410694582739
DE,CFG,2021-05-01,2021-05-31,Month 5,74.5575221238938
DE,CFG,2021-06-01,2021-06-30,Month 6,70.3614457831325
DE,CFG,2021-07-01,2021-07-31,Month 7,71.8232044198895
CM,CMP,2020-01-01,2020-01-31,Month 1,84.2250922509225
CM,CMP,2020-02-01,2020-02-29,Month 2,83.9897698209719
CM,CMP,2020-03-01,2020-03-31,Month 3,73.4230938094541
CM,CMP,2020-10-01,2020-10-31,Month 10,69.8867421718854
CM,CMP,2020-11-01,2020-11-30,Month 11,78.2979495554346
CM,CMP,2020-12-01,2020-12-31,Month 12,74.8047578997958
