country_iso,date,gdp
CAN,2021-07,1.430867107
CAN,2021-10,1.671567869
CAN,2022-01,0.682093903
CAN,2022-04,0.794953483
CAN,2022-07,0.728129094
CAN,2022-10,0.4
ARG,2017-01,0.913589888
ARG,2017-04,1.041197855
ARG,2017-07,1.268777995
ARG,2017-10,0.974447993
ARG,2018-01,-0.314413887
ARG,2018-04,-4.562005241
ARG,2018-07,-0.231590671
ARG,2018-10,-1.417682449
ARG,2019-01,0.078556317
ARG,2019-04,0.783684064
ARG,2019-07,0.163029134
ARG,2019-10,-1.531483889
ARG,2020-01,-4.266027871
ARG,2020-04,-14.975655896
ARG,2020-07,11.893161342
ARG,2020-10,4.53939723
ARG,2021-01,3.452561206
ARG,2021-04,-0.787434564
ARG,2021-07,3.862045315
ARG,2021-10,1.961825186
ARG,2022-01,1.039519439
ARG,2022-04,1.006364289
ARG,2022-07,1.700061575
SVN,2017-01,1.731681267
SVN,2017-04,1.233233951
SVN,2017-07,0.91239055
SVN,2017-10,2.289779555
SVN,2018-01,0.017303938
SVN,2018-04,1.361750026
SVN,2018-07,1.360489482
SVN,2018-10,1.197778768
SVN,2019-01,0.600341684
SVN,2019-04,-0.348842189
SVN,2019-07,1.637562552
SVN,2019-10,1.195492999
SVN,2020-01,-4.750814696
SVN,2020-04,-9.736607524
SVN,2020-07,12.975616642
SVN,2020-10,-1.262466085
SVN,2021-01,1.722026132
SVN,2021-04,1.985756447
SVN,2021-07,2.885785586
SVN,2021-10,3.385208508
SVN,2022-01,1.037738005
SVN,2022-04,0.798025906
SVN,2022-07,-1.277360218
SVN,2022-10,0.786094636
FIN,2017-01,1.020370911
FIN,2017-04,1.273873841
FIN,2017-07,0.372894662
FIN,2017-10,0.647030592
FIN,2018-01,0.291411314
FIN,2018-04,-0.095093861
FIN,2018-07,-0.119861806
FIN,2018-10,-0.040590145
FIN,2019-01,0.769760421
FIN,2019-04,0.809432871
FIN,2019-07,0.046924695
FIN,2019-10,-0.258833339
FIN,2020-01,-0.191580891
FIN,2020-04,-6.240075383
FIN,2020-07,4.95430943
FIN,2020-10,0.700441544
FIN,2021-01,-0.140874833
FIN,2021-04,1.527121394
FIN,2021-07,0.95876611
FIN,2021-10,0.614182982
FIN,2022-01,-0.003419797
FIN,2022-04,1.002034849
FIN,2022-07,-0.242097957
FIN,2022-10,-0.200257959
BRA,2017-01,1.084753707
BRA,2017-04,0.803354366
BRA,2017-07,0.315111662
BRA,2017-10,0.39913707
BRA,2018-01,0.654027688
BRA,2018-04,-0.048829812
BRA,2018-07,1.016901065
BRA,2018-10,-0.408955563
BRA,2019-01,0.301380001
BRA,2019-04,0.661687357
BRA,2019-07,0.189434769
BRA,2019-10,0.531191926
BRA,2020-01,-2.207753821
BRA,2020-04,-8.709255834
BRA,2020-07,8.095029471
BRA,2020-10,3.206381294
BRA,2021-01,1.053491922
BRA,2021-04,-0.264462894
BRA,2021-07,0.444978639
BRA,2021-10,0.857293622
BRA,2022-01,1.349037114
BRA,2022-04,0.980055551
BRA,2022-07,0.395910203
NLD,2017-01,0.524698086
NLD,2017-04,0.879420198
NLD,2017-07,0.715432289
NLD,2017-10,0.757270799
NLD,2018-01,0.447809287
NLD,2018-04,0.64175715
NLD,2018-07,0.243685009
NLD,2018-10,0.412290043
NLD,2019-01,0.700361236
NLD,2019-04,0.418754818
NLD,2019-07,0.392845441
NLD,2019-10,0.393918051
NLD,2020-01,-1.479569596
NLD,2020-04,-7.898193754
NLD,2020-07,6.348572441
NLD,2020-10,-0.060463078
NLD,2021-01,0.019217218
NLD,2021-04,3.745701057
NLD,2021-07,1.811962365
NLD,2021-10,0.500202925
NLD,2022-01,0.354049279
NLD,2022-04,2.45237301
NLD,2022-07,-0.15172266
NLD,2022-10,0.618923924
USA,2017-01,0.429663114
USA,2017-04,0.503792981
USA,2017-07,0.827488715
USA,2017-10,1.005660086
USA,2018-01,0.692653861
USA,2018-04,0.697342921
USA,2018-07,0.722035914
USA,2018-10,0.181783198
USA,2019-01,0.54271061
USA,2019-04,0.67300894
USA,2019-07,0.889966473
USA,2019-10,0.443046894
USA,2020-01,-1.175154201
USA,2020-04,-8.484336154
USA,2020-07,7.854483117
USA,2020-10,0.963213279
USA,2021-01,1.542791999
USA,2021-04,1.707015905
USA,2021-07,0.656694491
USA,2021-10,1.69569402
USA,2022-01,-0.410338185
USA,2022-04,-0.144633973
USA,2022-07,0.801155209
USA,2022-10,0.715185291
SVK,2017-01,0.78878073
SVK,2017-04,0.940255839
SVK,2017-07,0.834250349
SVK,2017-10,1.187981439
SVK,2018-01,0.909577938
SVK,2018-04,1.184308774
SVK,2018-07,1.00179249
SVK,2018-10,0.520982076
SVK,2019-01,0.846783673
SVK,2019-04,0.297942242
SVK,2019-07,0.239102112
SVK,2019-10,0.500540668
SVK,2020-01,-2.773349639
SVK,2020-04,-7.406237016
SVK,2020-07,9.207532641
SVK,2020-10,0.438953422
SVK,2021-01,-1.442835406
SVK,2021-04,1.913642675
SVK,2021-07,0.338624796
SVK,2021-10,0.354040839
SVK,2022-01,0.271799557
SVK,2022-04,0.334177653
SVK,2022-07,0.323994789
SVK,2022-10,0.269644108
MEX,2017-01,0.475152692
MEX,2017-04,0.322007556
MEX,2017-07,-0.408071656
MEX,2017-10,1.450433029
MEX,2018-01,1.131612355
MEX,2018-04,-0.062931575
MEX,2018-07,0.282094915
MEX,2018-10,-0.056680309
MEX,2019-01,0.043774499
MEX,2019-04,-0.41153142
MEX,2019-07,0.243255136
MEX,2019-10,-0.504316924
MEX,2020-01,-0.992249892
MEX,2020-04,-17.755667378
MEX,2020-07,13.151112296
MEX,2020-10,4.213538699
MEX,2021-01,0.450530388
MEX,2021-04,0.727704765
MEX,2021-07,-1.054308885
MEX,2021-10,0.989264132
MEX,2022-01,1.225600174
MEX,2022-04,1.144173256
MEX,2022-07,0.890356892
MEX,2022-10,0.400000208
BEL,2017-01,0.651981383
BEL,2017-04,0.241505195
BEL,2017-07,-0.06443299
BEL,2017-10,0.801726796
BEL,2018-01,0.372646625
BEL,2018-04,0.452534656
BEL,2018-07,0.390736331
BEL,2018-10,0.977159917
BEL,2019-01,0.257570673
BEL,2019-04,0.545479217
BEL,2019-07,0.727858351
BEL,2019-10,0.603803246
BEL,2020-01,-2.872160024
BEL,2020-04,-11.39783177
BEL,2020-07,11.731267216
BEL,2020-10,-0.527239151
BEL,2021-01,1.364535083
BEL,2021-04,1.727122043
BEL,2021-07,2.32344601
BEL,2021-10,0.57009132
BEL,2022-01,0.567734486
BEL,2022-04,0.543653175
BEL,2022-07,0.211094577
BEL,2022-10,0.100145038
ISR,2017-01,0.185687701
ISR,2017-04,1.327934495
ISR,2017-07,1.486660312
ISR,2017-10,1.54384928
ISR,2018-01,1.247326559
ISR,2018-04,0.201931539
ISR,2018-07,0.880779816
ISR,2018-10,0.816545001
ISR,2019-01,1.713848958
ISR,2019-04,0.404443614
ISR,2019-07,1.16385609
ISR,2019-10,0.852409653
ISR,2020-01,-1.218770045
ISR,2020-04,-8.760464937
ISR,2020-07,8.863303699
ISR,2020-10,2.303684308
ISR,2021-01,-0.310395383
ISR,2021-04,3.975902064
ISR,2021-07,2.039394093
ISR,2021-10,4.448364418
ISR,2022-01,-0.765645614
ISR,2022-04,1.516090605
ISR,2022-07,0.529305626
ISR,2022-10,1.421818857
TUR,2017-01,1.368865306
TUR,2017-04,2.28031882
TUR,2017-07,1.515918521
TUR,2017-10,1.882761165
TUR,2018-01,1.468743124
TUR,2018-04,0.657521797
TUR,2018-07,-1.627935541
TUR,2018-10,-3.184115348
TUR,2019-01,1.901026683
TUR,2019-04,2.379951147
TUR,2019-07,0.050625441
TUR,2019-10,1.364629963
TUR,2020-01,0.51983281
TUR,2020-04,-10.371752592
TUR,2020-07,15.649317805
TUR,2020-10,1.084647787
TUR,2021-01,2.616659059
TUR,2021-04,1.994956988
TUR,2021-07,2.714482826
TUR,2021-10,1.575638393
TUR,2022-01,0.589413802
TUR,2022-04,1.874313763
TUR,2022-07,-0.12469848
IND,2017-01,0.79929
IND,2017-04,2.05809
IND,2017-07,1.64908
IND,2017-10,1.88093
IND,2018-01,2.14286
IND,2018-04,1.3456
IND,2018-07,1.37079
IND,2018-10,1.45431
IND,2019-01,1.02608
IND,2019-04,1.33159
IND,2019-07,0.42006
IND,2019-10,0.44249
IND,2020-01,-0.02507
IND,2020-04,-23.05824
IND,2020-07,21.39841
IND,2020-10,7.78787
IND,2021-01,0.75983
IND,2021-04,-8.64884
IND,2021-07,8.68774
IND,2021-10,4.98936
IND,2022-01,-0.07691
IND,2022-04,-0.01586
IND,2022-07,0.7557
LVA,2017-01,1.534823488
LVA,2017-04,0.860054508
LVA,2017-07,0.356780874
LVA,2017-10,0.684614922
LVA,2018-01,1.248932908
LVA,2018-04,1.57286648
LVA,2018-07,1.1448903
LVA,2018-10,0.898354153
LVA,2019-01,0.373417191
LVA,2019-04,0.530024575
LVA,2019-07,0.077160906
LVA,2019-10,0.245704
LVA,2020-01,-0.377459034
LVA,2020-04,-7.081695933
LVA,2020-07,5.962102979
LVA,2020-10,1.611369669
LVA,2021-01,-0.698419349
LVA,2021-04,2.244875781
LVA,2021-07,1.364212166
LVA,2021-10,-0.431814241
LVA,2022-01,1.7
LVA,2022-04,-0.100000001
LVA,2022-07,-1.699999999
LVA,2022-10,0.300000006
CZE,2017-01,1.650204951
CZE,2017-04,2.479823267
CZE,2017-07,0.835604389
CZE,2017-10,0.813267776
CZE,2018-01,0.541692343
CZE,2018-04,0.601711787
CZE,2018-07,0.71256224
CZE,2018-10,0.738773543
CZE,2019-01,0.911971974
CZE,2019-04,0.673307922
CZE,2019-07,0.671601571
CZE,2019-10,0.483390672
CZE,2020-01,-3.242594973
CZE,2020-04,-8.848739463
CZE,2020-07,6.953208665
CZE,2020-10,1.140550376
CZE,2021-01,-0.495155357
CZE,2021-04,1.389823598
CZE,2021-07,1.697764004
CZE,2021-10,0.849939884
CZE,2022-01,0.614937904
CZE,2022-04,0.302580511
CZE,2022-07,-0.248264586
CZE,2022-10,-0.303170432
POL,2017-01,1.209800653
POL,2017-04,0.983774743
POL,2017-07,1.478515471
POL,2017-10,1.352166779
POL,2018-01,1.816359497
POL,2018-04,1.408964296
POL,2018-07,1.243429412
POL,2018-10,0.981563471
POL,2019-01,1.394995845
POL,2019-04,0.904398233
POL,2019-07,0.74318166
POL,2019-10,0.653723822
POL,2020-01,0.740482537
POL,2020-04,-9.20559796
POL,2020-07,6.761717909
POL,2020-10,0.121471225
POL,2021-01,2.571794875
POL,2021-04,2.173567115
POL,2021-07,2.088769567
POL,2021-10,1.634625676
POL,2022-01,4.255502011
POL,2022-04,-2.335642348
POL,2022-07,0.958997775
POL,2022-10,-2.400004845
DEU,2017-01,1.204045529
DEU,2017-04,0.847700291
DEU,2017-07,0.735511417
DEU,2017-10,0.910297803
DEU,2018-01,-0.580238828
DEU,2018-04,0.708886267
DEU,2018-07,-0.788365008
DEU,2018-10,0.794634591
DEU,2019-01,0.71562698
DEU,2019-04,-0.167744144
DEU,2019-07,0.112016509
DEU,2019-10,0.261074062
DEU,2020-01,-1.422765492
DEU,2020-04,-9.481133512
DEU,2020-07,9.004694909
DEU,2020-10,0.621471543
DEU,2021-01,-1.468048603
DEU,2021-04,1.928643933
DEU,2021-07,0.785236875
DEU,2021-10,-0.02815511
DEU,2022-01,0.800505021
DEU,2022-04,0.102467391
DEU,2022-07,0.474594034
DEU,2022-10,-0.240803107
IDN,2017-01,1.254426969
IDN,2017-04,1.250344922
IDN,2017-07,1.261117718
IDN,2017-10,1.280409733
IDN,2018-01,1.283179291
IDN,2018-04,1.253727308
IDN,2018-07,1.267304331
IDN,2018-10,1.265040486
IDN,2019-01,1.236642814
IDN,2019-04,1.243246794
IDN,2019-07,1.194572399
IDN,2019-10,1.066738103
IDN,2020-01,-0.655186031
IDN,2020-04,-6.944950312
IDN,2020-07,3.350092263
IDN,2020-10,2.405581464
IDN,2021-01,1.000447045
IDN,2021-04,0.233900409
IDN,2021-07,0.109026297
IDN,2021-10,3.276353595
IDN,2022-01,1.077360185
IDN,2022-04,0.920544314
IDN,2022-07,0.700981909
IDN,2022-10,2.162301337
LUX,2017-01,-1.25561917
LUX,2017-04,1.313553774
LUX,2017-07,1.098946651
LUX,2017-10,0.109057063
LUX,2018-01,0.212947931
LUX,2018-04,-0.616680465
LUX,2018-07,0.925753139
LUX,2018-10,0.342425415
LUX,2019-01,0.305440693
LUX,2019-04,1.761085703
LUX,2019-07,-0.009661553
LUX,2019-10,0.506468116
LUX,2020-01,-1.233812646
LUX,2020-04,-5.559299793
LUX,2020-07,8.290337456
LUX,2020-10,-0.368679044
LUX,2021-01,2.021735062
LUX,2021-04,0.581737437
LUX,2021-07,-0.194103088
LUX,2021-10,1.633183727
LUX,2022-01,0.745967202
LUX,2022-04,-0.497233163
LUX,2022-07,1.110320251
ZAF,2017-01,0.472126567
ZAF,2017-04,0.54530205
ZAF,2017-07,0.183895972
ZAF,2017-10,0.393361099
ZAF,2018-01,0.419659147
ZAF,2018-04,-0.20919102
ZAF,2018-07,1.28271173
ZAF,2018-10,0.352776575
ZAF,2019-01,-0.905936171
ZAF,2019-04,0.408283926
ZAF,2019-07,0.138505833
ZAF,2019-10,-0.034571232
ZAF,2020-01,0.000695682
ZAF,2020-04,-17.094183366
ZAF,2020-07,13.764967337
ZAF,2020-10,2.696950399
ZAF,2021-01,0.822924303
ZAF,2021-04,1.387912495
ZAF,2021-07,-1.801676582
ZAF,2021-10,1.369403562
ZAF,2022-01,1.74312424
ZAF,2022-04,-0.738679362
ZAF,2022-07,1.620785411
RUS,2017-01,0.201684982
RUS,2017-04,0.690456285
RUS,2017-07,0.679484492
RUS,2017-10,0.020994643
RUS,2018-01,1.356032191
RUS,2018-04,0.55794654
RUS,2018-07,0.241368821
RUS,2018-10,0.663966548
RUS,2019-01,-0.038077851
RUS,2019-04,2.261719554
RUS,2019-07,-0.978355601
RUS,2019-10,-0.452487734
RUS,2020-01,-0.196323318
