airline_iata,date,load_factor
IR,2017-08,65.0791114776066
IR,2017-09,64.6841191512653
IR,2017-10,71.3529127318967
IR,2017-11,64.9467430520727
IR,2017-12,69.2338765400602
IR,2018-01,64.0286158347047
IR,2018-02,63.28154639734
IR,2018-03,70.6696954204623
IR,2018-04,68.3691337727195
IR,2018-05,62.9249828094357
IR,2018-06,62.6968682387923
IR,2018-07,70.4846258690006
IR,2018-08,67.1769983493528
IR,2018-09,60.7662065904335
IR,2018-10,59.5346318655858
IR,2018-11,59.3586241895845
IR,2018-12,65.2992521160022
J9,2017-02,74.3667594510283
J9,2017-03,71.5259253125793
J9,2017-04,79.1602727499152
J9,2017-05,76.7103395476442
J9,2017-06,74.733474044116
J9,2017-07,83.6047127161669
J9,2017-08,86.6579301527176
LS,2017-02,85.9658735668513
LS,2017-03,88.0064305881789
LS,2017-04,85.959941274615
LS,2017-05,85.3631445239398
LS,2017-06,92.3153084881986
LS,2017-07,93.1144212804817
LS,2017-08,95.6340674936093
LS,2017-09,93.7247825969421
LS,2017-10,91.3378283570898
LS,2017-11,88.8575370283363
LS,2017-12,83.936478961256
LS,2018-01,86.7768647495896
LS,2018-02,89.4368329968272
LS,2018-03,91.0894913587731
LS,2018-04,89.5073507210855
LS,2018-05,87.2245346692034
LS,2018-06,93.5311081867504
LS,2018-07,93.9712062773472
LS,2018-08,95.9418673436237
LS,2018-09,93.5332558350353
LS,2018-10,90.447590340448
LS,2018-11,85.2076777696929
LS,2018-12,84.0168356935255
B6,2017-02,82.6281620774569
B6,2017-03,85.6895759994185
B6,2017-04,85.3111851508868
B6,2017-05,84.7318154667642
B6,2017-06,85.4631567699396
B6,2017-07,87.1223262532915
B6,2017-08,87.1050623426418
B6,2017-09,80.2076539853411
B6,2017-10,82.3755726548948
B6,2017-11,84.1823481281067
B6,2017-12,82.7174805691471
B6,2018-01,81.8710929079543
B6,2018-02,82.637893982808
B6,2018-03,88.9794839470527
B6,2018-04,85.6855441126671
B6,2018-05,85.7969926297694
B6,2018-06,86.9875610576067
B6,2018-07,88.8670852956567
B6,2018-08,88.7291114494633
B6,2018-09,79.6606348750948
B6,2018-10,82.8731286890101
B6,2018-11,83.4851380474119
B6,2018-12,81.351815872067
JQ,2018-01,86.4373459290974
JQ,2018-02,86.6596648308728
JQ,2018-03,86.1568179499771
JQ,2018-04,83.8840736063277
JQ,2018-05,83.5853981037622
JQ,2018-06,85.6269173651135
JQ,2018-07,87.1083116330831
LH,2017-02,75.6705435556611
LH,2017-03,78.1798899714986
LH,2017-04,82.3628428927681
LH,2017-05,80.1801801801802
LH,2017-06,83.9763497372193
LH,2017-07,86.7562815495434
LH,2017-08,85.7906535609588
LH,2017-09,84.5620069983987
LH,2017-10,81.6734498443859
LH,2017-11,79.2764051045343
LH,2017-12,79.1837342667759
LH,2018-01,76.7375245389091
LH,2018-02,75.9690476997712
LH,2018-03,81.5541634476354
LH,2018-04,80.8033397520713
LH,2018-05,79.2636418506484
LH,2018-06,84.2376125044409
LH,2018-07,86.1310728409753
LH,2018-08,86.2093317654336
LH,2018-09,84.1484513225269
LH,2018-10,81.5696843691956
LH,2018-11,78.9505651743204
LH,2018-12,78.6227387195323
YV,2017-02,78.2885847031325
YV,2017-03,82.2190985554484
YV,2017-04,80.4265511508255
YV,2017-05,80.0589780014897
YV,2017-06,83.256197256482
YV,2017-07,82.5606390773649
YV,2017-08,79.6823671312925
YV,2017-09,78.427308130842
YV,2017-10,83.058553873053
YV,2017-11,81.774156201887
YV,2017-12,80.1027080046558
YV,2018-01,78.1255007846557
YV,2018-02,80.6750625300009
YV,2018-03,82.9738742519538
YV,2018-04,81.1097360357121
YV,2018-05,82.4262304833146
YV,2018-06,85.2456762832258
YV,2018-07,85.3505601409763
YV,2018-08,81.7974712533957
YV,2018-09,78.3249235447423
YV,2018-10,81.5825953205696
YV,2018-11,82.528928872099
YV,2018-12,77.2958465696447
ME,2017-02,70.7473340310903
ME,2017-03,71.1430691885106
ME,2017-04,83.0807394719745
ME,2017-05,76.247316344628
ME,2017-06,70.4901635520926
ME,2017-07,85.7964889417805
ME,2017-08,84.4747154055001
ME,2017-09,77.4825888472649
ME,2017-10,76.5064922417066
ME,2017-11,74.6799946816869
