country_iata,date,gdp,total_cases,total_deaths,stringency_index,reproduction_rate,population,population_density,airline_iata,passenger_load_factor_pct,seats,airline_type
AR,2021-04,-0.787434564,2977363,63865,71.76,0.95,45510324,16.177,AR,64.15136885,1584,Mainline
AR,2021-04,-0.787434564,2977363,63865,71.76,0.95,45510324,16.177,AR,64.15136885,1248,Mainline
AR,2021-04,-0.787434564,2977363,63865,71.76,0.95,45510324,16.177,AR,64.15136885,2298,Mainline
AR,2021-04,-0.787434564,2977363,63865,71.76,0.95,45510324,16.177,AR,64.15136885,1632,Mainline
AR,2021-04,-0.787434564,2977363,63865,71.76,0.95,45510324,16.177,AR,64.15136885,6785,Mainline
AR,2021-04,-0.787434564,2977363,63865,71.76,0.95,45510324,16.177,AR,64.15136885,267,Mainline
AR,2021-07,3.862045315,4929764,105721,74.1,0.92,45510324,16.177,AR,84.1950965,1068,Mainline
AR,2021-07,3.862045315,4929764,105721,74.1,0.92,45510324,16.177,AR,84.1950965,810,Mainline
AR,2021-07,3.862045315,4929764,105721,74.1,0.92,45510324,16.177,AR,84.1950965,366885,Mainline
AR,2021-07,3.862045315,4929764,105721,74.1,0.92,45510324,16.177,AR,84.1950965,922,Mainline
AR,2021-07,3.862045315,4929764,105721,74.1,0.92,45510324,16.177,AR,84.1950965,779,Mainline
AR,2021-07,3.862045315,4929764,105721,74.1,0.92,45510324,16.177,AR,84.1950965,512,Mainline
AR,2021-07,3.862045315,4929764,105721,74.1,0.92,45510324,16.177,AR,84.1950965,3204,Mainline
AR,2021-07,3.862045315,4929764,105721,74.1,0.92,45510324,16.177,AR,84.1950965,267,Mainline
AR,2021-07,3.862045315,4929764,105721,74.1,0.92,45510324,16.177,AR,84.1950965,170,Mainline
AR,2021-07,3.862045315,4929764,105721,74.1,0.92,45510324,16.177,AR,84.1950965,6755,Mainline
AR,2021-07,3.862045315,4929764,105721,74.1,0.92,45510324,16.177,AR,84.1950965,267,Mainline
AR,2021-07,3.862045315,4929764,105721,74.1,0.92,45510324,16.177,AR,84.1950965,1114,Mainline
AR,2021-07,3.862045315,4929764,105721,74.1,0.92,45510324,16.177,AR,84.1950965,512,Mainline
AR,2021-07,3.862045315,4929764,105721,74.1,0.92,45510324,16.177,AR,84.1950965,6206,Mainline
AR,2021-07,3.862045315,4929764,105721,74.1,0.92,45510324,16.177,AR,84.1950965,170,Mainline
AR,2021-07,3.862045315,4929764,105721,74.1,0.92,45510324,16.177,AR,84.1950965,2136,Mainline
AR,2021-07,3.862045315,4929764,105721,74.1,0.92,45510324,16.177,AR,84.1950965,779,Mainline
AR,2021-07,3.862045315,4929764,105721,74.1,0.92,45510324,16.177,AR,84.1950965,810,Mainline
AR,2021-07,3.862045315,4929764,105721,74.1,0.92,45510324,16.177,AR,84.1950965,2403,Mainline
AU,2020-04,-6.757576577,6766,93,69.44,0.59,26177410,3.202,JQ,32.94638051,43200,Low-cost
AU,2020-07,3.855111623,17280,201,68.06,1.2,26177410,3.202,JQ,71.96659802,119160,Low-cost
AU,2020-07,3.855111623,17280,201,68.06,1.2,26177410,3.202,JQ,71.96659802,277640,Low-cost
AU,2020-10,3.381809258,27595,907,62.5,0.74,26177410,3.202,JQ,75.37435083,105840,Low-cost
AU,2020-10,3.381809258,27595,907,62.5,0.74,26177410,3.202,JQ,75.37435083,303040,Low-cost
AU,2020-10,3.381809258,27595,907,62.5,0.74,26177410,3.202,JQ,75.37435083,1260,Low-cost
AU,2020-10,3.381809258,27595,907,62.5,0.74,26177410,3.202,JQ,75.37435083,1260,Low-cost
AU,2020-04,-6.757576577,6766,93,69.44,0.59,26177410,3.202,QF,31.56824279,2657,Mainline
AU,2020-04,-6.757576577,6766,93,69.44,0.59,26177410,3.202,QF,31.56824279,0,Mainline
AU,2020-04,-6.757576577,6766,93,69.44,0.59,26177410,3.202,QF,31.56824279,236,Mainline
AU,2020-04,-6.757576577,6766,93,69.44,0.59,26177410,3.202,QF,31.56824279,0,Mainline
AU,2020-04,-6.757576577,6766,93,69.44,0.59,26177410,3.202,QF,31.56824279,2657,Mainline
AU,2020-04,-6.757576577,6766,93,69.44,0.59,26177410,3.202,QF,31.56824279,2970,Mainline
AU,2020-04,-6.757576577,6766,93,69.44,0.59,26177410,3.202,QF,31.56824279,0,Mainline
AU,2020-04,-6.757576577,6766,93,69.44,0.59,26177410,3.202,QF,31.56824279,472,Mainline
AU,2020-04,-6.757576577,6766,93,69.44,0.59,26177410,3.202,QF,31.56824279,708,Mainline
AU,2020-04,-6.757576577,6766,93,69.44,0.59,26177410,3.202,QF,31.56824279,236,Mainline
AU,2020-04,-6.757576577,6766,93,69.44,0.59,26177410,3.202,QF,31.56824279,708,Mainline
AU,2020-04,-6.757576577,6766,93,69.44,0.59,26177410,3.202,QF,31.56824279,0,Mainline
AU,2020-04,-6.757576577,6766,93,69.44,0.59,26177410,3.202,QF,31.56824279,236,Mainline
AU,2020-04,-6.757576577,6766,93,69.44,0.59,26177410,3.202,QF,31.56824279,236,Mainline
AU,2020-04,-6.757576577,6766,93,69.44,0.59,26177410,3.202,QF,31.56824279,708,Mainline
AU,2020-04,-6.757576577,6766,93,69.44,0.59,26177410,3.202,QF,31.56824279,3015,Mainline
AU,2020-04,-6.757576577,6766,93,69.44,0.59,26177410,3.202,QF,31.56824279,236,Mainline
AU,2020-04,-6.757576577,6766,93,69.44,0.59,26177410,3.202,QF,31.56824279,0,Mainline
AU,2020-04,-6.757576577,6766,93,69.44,0.59,26177410,3.202,QF,31.56824279,0,Mainline
AU,2020-04,-6.757576577,6766,93,69.44,0.59,26177410,3.202,QF,31.56824279,0,Mainline
AU,2020-04,-6.757576577,6766,93,69.44,0.59,26177410,3.202,QF,31.56824279,326636,Mainline
AU,2020-04,-6.757576577,6766,93,69.44,0.59,26177410,3.202,QF,31.56824279,364,Mainline
AU,2020-04,-6.757576577,6766,93,69.44,0.59,26177410,3.202,QF,31.56824279,0,Mainline
AU,2020-04,-6.757576577,6766,93,69.44,0.59,26177410,3.202,QF,31.56824279,236,Mainline
AU,2020-04,-6.757576577,6766,93,69.44,0.59,26177410,3.202,QF,31.56824279,3906,Mainline
AU,2020-04,-6.757576577,6766,93,69.44,0.59,26177410,3.202,QF,31.56824279,0,Mainline
AU,2020-04,-6.757576577,6766,93,69.44,0.59,26177410,3.202,QF,31.56824279,3267,Mainline
AU,2020-07,3.855111623,17280,201,68.06,1.2,26177410,3.202,QF,58.26554258,527191,Mainline
AU,2020-07,3.855111623,17280,201,68.06,1.2,26177410,3.202,QF,58.26554258,3270,Mainline
AU,2020-07,3.855111623,17280,201,68.06,1.2,26177410,3.202,QF,58.26554258,2786,Mainline
AU,2020-07,3.855111623,17280,201,68.06,1.2,26177410,3.202,QF,58.26554258,484,Mainline
AU,2020-07,3.855111623,17280,201,68.06,1.2,26177410,3.202,QF,58.26554258,0,Mainline
AU,2020-07,3.855111623,17280,201,68.06,1.2,26177410,3.202,QF,58.26554258,2673,Mainline
AU,2020-07,3.855111623,17280,201,68.06,1.2,26177410,3.202,QF,58.26554258,0,Mainline
