organization_code_iata,,organization_code_iata,organization_code_icao,period_start_date,period_end_date,accounting_period,passenger_load_factor_pct,continuous,type
LH,8449,LH,DLH,2017-06-01,2017-06-30,Month 6,83.9763497372193,5,Cargo
LH,8450,LH,DLH,2017-07-01,2017-07-31,Month 7,86.7562815495434,6,Cargo
LH,8451,LH,DLH,2017-08-01,2017-08-31,Month 8,85.7906535609588,7,Cargo
LH,8452,LH,DLH,2017-09-01,2017-09-30,Month 9,84.5620069983987,8,Cargo
LH,8453,LH,DLH,2017-10-01,2017-10-31,Month 10,81.6734498443859,9,Cargo
LH,8454,LH,DLH,2017-11-01,2017-11-30,Month 11,79.2764051045343,10,Cargo
LH,8455,LH,DLH,2017-12-01,2017-12-31,Month 12,79.1837342667759,11,Cargo
LH,8456,LH,DLH,2018-01-01,2018-01-31,Month 1,76.7375245389091,12,Cargo
LH,3778,LH,GEC,2018-01-01,2018-12-31,Annual,0.0,12,Cargo
LH,1733,LH,DLH,2018-01-01,2018-12-31,Annual,81.3512291062108,12,Cargo
LH,8457,LH,DLH,2018-02-01,2018-02-28,Month 2,75.9690476997712,13,Cargo
LH,8458,LH,DLH,2018-03-01,2018-03-31,Month 3,81.5541634476354,14,Cargo
LH,8459,LH,DLH,2018-04-01,2018-04-30,Month 4,80.8033397520713,15,Cargo
LH,8460,LH,DLH,2018-05-01,2018-05-31,Month 5,79.2636418506484,16,Cargo
LH,8461,LH,DLH,2018-06-01,2018-06-30,Month 6,84.2376125044409,17,Cargo
LH,8462,LH,DLH,2018-07-01,2018-07-31,Month 7,86.1310728409753,18,Cargo
LH,8463,LH,DLH,2018-08-01,2018-08-31,Month 8,86.2093317654336,19,Cargo
LH,8464,LH,DLH,2018-09-01,2018-09-30,Month 9,84.1484513225269,20,Cargo
LH,8465,LH,DLH,2018-10-01,2018-10-31,Month 10,81.5696843691956,21,Cargo
LH,8466,LH,DLH,2018-11-01,2018-11-30,Month 11,78.9505651743204,22,Cargo
LH,8467,LH,DLH,2018-12-01,2018-12-31,Month 12,78.6227387195323,23,Cargo
LH,3779,LH,GEC,2019-01-01,2019-12-31,Annual,0.0,24,Cargo
LH,1734,LH,DLH,2019-01-01,2019-12-31,Annual,82.5728091942014,24,Cargo
LH,9898,LH,DLH,2019-01-01,2019-01-31,Month 1,76.5734447717241,24,Cargo
LH,1881,LH,DLH,2019-01-01,2019-03-31,Quarter 1,78.4,24,Cargo
LH,9899,LH,DLH,2019-02-01,2019-02-28,Month 2,76.1679123327961,25,Cargo
LH,9900,LH,DLH,2019-03-01,2019-03-31,Month 3,80.4252887876503,26,Cargo
LH,9901,LH,DLH,2019-04-01,2019-04-30,Month 4,83.2315995761195,27,Cargo
LH,9902,LH,DLH,2019-05-01,2019-05-31,Month 5,81.9091135297091,28,Cargo
LH,9903,LH,DLH,2019-06-01,2019-06-30,Month 6,85.7029201834146,29,Cargo
LH,9904,LH,DLH,2019-07-01,2019-07-31,Month 7,86.8746694870439,30,Cargo
LH,9905,LH,DLH,2019-08-01,2019-08-31,Month 8,86.8013826110077,31,Cargo
LH,9906,LH,DLH,2019-09-01,2019-09-30,Month 9,84.2323199302604,32,Cargo
LH,9907,LH,DLH,2019-10-01,2019-10-31,Month 10,82.2383895848148,33,Cargo
LH,9908,LH,DLH,2019-11-01,2019-11-30,Month 11,80.1716350496838,34,Cargo
LH,9909,LH,DLH,2019-12-01,2019-12-31,Month 12,81.2367864693446,35,Cargo
LH,743,LH,DLH,2020-01-01,2020-01-31,Month 1,78.5736746116596,36,Cargo
LH,1882,LH,DLH,2020-01-01,2020-03-31,Quarter 1,73.1,36,Cargo
LH,1735,LH,DLH,2020-01-01,2020-12-31,Annual,62.1339950372208,36,Cargo
LH,3780,LH,GEC,2020-01-01,2020-12-31,Annual,0.0,36,Cargo
LH,744,LH,DLH,2020-02-01,2020-02-29,Month 2,74.5062712216756,37,Cargo
LH,745,LH,DLH,2020-03-01,2020-03-31,Month 3,59.7252882021094,38,Cargo
LH,1883,LH,DLH,2020-04-01,2020-06-30,Quarter 2,51.3,39,Cargo
LH,746,LH,DLH,2020-04-01,2020-04-30,Month 4,43.8271604938272,39,Cargo
LH,747,LH,DLH,2020-05-01,2020-05-31,Month 5,50.8914100486224,40,Cargo
LH,748,LH,DLH,2020-06-01,2020-06-30,Month 6,55.7103064066852,41,Cargo
LH,1884,LH,DLH,2020-07-01,2020-09-30,Quarter 3,48.5,42,Cargo
LH,749,LH,DLH,2020-07-01,2020-07-31,Month 7,55.3030303030303,42,Cargo
LH,750,LH,DLH,2020-08-01,2020-08-31,Month 8,49.4819249366797,43,Cargo
LH,751,LH,DLH,2020-09-01,2020-09-30,Month 9,42.32602478551,44,Cargo
LH,752,LH,DLH,2020-10-01,2020-10-31,Month 10,39.4011976047904,45,Cargo
LH,1885,LH,DLH,2020-10-01,2020-12-31,Quarter 4,42.0255602240896,45,Cargo
LH,753,LH,DLH,2020-11-01,2020-11-30,Month 11,37.2891215823153,46,Cargo
LH,754,LH,DLH,2020-12-01,2020-12-31,Month 12,49.1734452899501,47,Cargo
LH,755,LH,DLH,2021-01-01,2021-01-31,Month 1,47.3998507091316,48,Cargo
LH,756,LH,DLH,2021-02-01,2021-02-28,Month 2,42.7812811151676,49,Cargo
LH,757,LH,DLH,2021-03-01,2021-03-31,Month 3,46.2674961119751,50,Cargo
LH,758,LH,DLH,2021-04-01,2021-04-30,Month 4,43.8468158347676,51,Cargo
LH,759,LH,DLH,2021-05-01,2021-05-31,Month 5,46.2357693720162,52,Cargo
LH,760,LH,DLH,2021-06-01,2021-06-30,Month 6,57.6123194157803,53,Cargo
LH,761,LH,DLH,2021-07-01,2021-07-31,Month 7,65.4996971532405,54,Cargo
LH,762,LH,DLH,2021-08-01,2021-08-31,Month 8,70.4939772350536,55,Cargo
LH,763,LH,DLH,2021-09-01,2021-09-30,Month 9,64.6848457755923,56,Cargo
LJ,6465,LJ,JNA,2017-02-01,2017-02-28,Month 2,93.3259465387793,1,Low-cost
LJ,6466,LJ,JNA,2017-03-01,2017-03-31,Month 3,87.17410515570771,2,Low-cost
LJ,6467,LJ,JNA,2017-04-01,2017-04-30,Month 4,90.4726357017373,3,Low-cost
LJ,6476,LJ,JNA,2017-05-01,2017-05-31,Month 5,86.2207986515535,4,Low-cost
LJ,6477,LJ,JNA,2017-06-01,2017-06-30,Month 6,88.1825330390889,5,Low-cost
LJ,6478,LJ,JNA,2017-07-01,2017-07-31,Month 7,89.0945781123388,6,Low-cost
LJ,6479,LJ,JNA,2017-08-01,2017-08-31,Month 8,90.9565543174463,7,Low-cost
LJ,6480,LJ,JNA,2017-09-01,2017-09-30,Month 9,88.3902786885046,8,Low-cost
LJ,6481,LJ,JNA,2017-10-01,2017-10-31,Month 10,86.7692108910659,9,Low-cost
LJ,6482,LJ,JNA,2017-11-01,2017-11-30,Month 11,89.6832805402471,10,Low-cost
LJ,6483,LJ,JNA,2017-12-01,2017-12-31,Month 12,90.0265488716729,11,Low-cost
LJ,6484,LJ,JNA,2018-01-01,2018-01-31,Month 1,92.7666522775473,12,Low-cost
LJ,3761,LJ,JNA,2018-01-01,2018-12-31,Annual,84.9333729932195,12,Low-cost
LJ,6485,LJ,JNA,2018-02-01,2018-02-28,Month 2,90.6170375058831,13,Low-cost
LJ,6486,LJ,JNA,2018-03-01,2018-03-31,Month 3,87.0940981275184,14,Low-cost
LJ,6487,LJ,JNA,2018-04-01,2018-04-30,Month 4,89.413813116657,15,Low-cost
LJ,6468,LJ,JNA,2018-05-01,2018-05-31,Month 5,83.3449932997035,16,Low-cost
LJ,6469,LJ,JNA,2018-06-01,2018-06-30,Month 6,89.0767449132827,17,Low-cost
LJ,6470,LJ,JNA,2018-07-01,2018-07-31,Month 7,84.9825193167473,18,Low-cost
LJ,6471,LJ,JNA,2018-08-01,2018-08-31,Month 8,89.645076199664,19,Low-cost
LJ,6472,LJ,JNA,2018-09-01,2018-09-30,Month 9,83.7566449378202,20,Low-cost
LJ,6473,LJ,JNA,2018-10-01,2018-10-31,Month 10,83.821023315352,21,Low-cost
LJ,6474,LJ,JNA,2018-11-01,2018-11-30,Month 11,88.2677974813673,22,Low-cost
LJ,6475,LJ,JNA,2018-12-01,2018-12-31,Month 12,94.1680811415461,23,Low-cost
LJ,3762,LJ,JNA,2019-01-01,2019-12-31,Annual,84.9433168148802,24,Low-cost
LJ,4778,LJ,JNA,2019-01-01,2019-01-31,Month 1,90.0614589912053,24,Low-cost
LJ,10218,LJ,JNA,2019-01-01,2019-03-31,Quarter 1,90.7,24,Low-cost
LJ,4779,LJ,JNA,2019-02-01,2019-02-28,Month 2,90.8229246836083,25,Low-cost
LJ,4780,LJ,JNA,2019-03-01,2019-03-31,Month 3,85.6650651437537,26,Low-cost
LJ,5372,LJ,JNA,2019-04-01,2019-04-30,Month 4,85.7114249304309,27,Low-cost
LJ,5373,LJ,JNA,2019-05-01,2019-05-31,Month 5,79.3949950480713,28,Low-cost
LJ,5374,LJ,JNA,2019-06-01,2019-06-30,Month 6,85.9634546645145,29,Low-cost
LJ,5375,LJ,JNA,2019-07-01,2019-07-31,Month 7,84.5880392491441,30,Low-cost
LJ,5376,LJ,JNA,2019-08-01,2019-08-31,Month 8,83.5834300722792,31,Low-cost
LJ,5377,LJ,JNA,2019-09-01,2019-09-30,Month 9,76.1489465492811,32,Low-cost
LJ,5378,LJ,JNA,2019-10-01,2019-10-31,Month 10,83.0699162124662,33,Low-cost
LJ,5379,LJ,JNA,2019-11-01,2019-11-30,Month 11,85.6303752462403,34,Low-cost
LJ,5380,LJ,JNA,2019-12-01,2019-12-31,Month 12,88.1384299206297,35,Low-cost
LJ,2473,LJ,JNA,2020-01-01,2020-01-31,Month 1,0.0,36,Low-cost
LJ,10219,LJ,JNA,2020-01-01,2020-03-31,Quarter 1,72.0,36,Low-cost
LJ,3763,LJ,JNA,2020-01-01,2020-12-31,Annual,70.1705855232826,36,Low-cost
LJ,2474,LJ,JNA,2020-02-01,2020-02-29,Month 2,0.0,37,Low-cost
LJ,2475,LJ,JNA,2020-03-01,2020-03-31,Month 3,0.0,38,Low-cost
LJ,2476,LJ,JNA,2020-04-01,2020-04-30,Month 4,0.0,39,Low-cost
LJ,2477,LJ,JNA,2020-05-01,2020-05-31,Month 5,0.0,40,Low-cost
LJ,2478,LJ,JNA,2020-06-01,2020-06-30,Month 6,0.0,41,Low-cost
LJ,2479,LJ,JNA,2020-07-01,2020-07-31,Month 7,0.0,42,Low-cost
LJ,2480,LJ,JNA,2020-08-01,2020-08-31,Month 8,0.0,43,Low-cost
LJ,2481,LJ,JNA,2020-09-01,2020-09-30,Month 9,0.0,44,Low-cost
LJ,2482,LJ,JNA,2020-10-01,2020-10-31,Month 10,0.0,45,Low-cost
LJ,2483,LJ,JNA,2020-11-01,2020-11-30,Month 11,0.0,46,Low-cost
LJ,2484,LJ,JNA,2020-12-01,2020-12-31,Month 12,0.0,47,Low-cost
LJ,2485,LJ,JNA,2021-01-01,2021-01-31,Month 1,0.0,48,Low-cost
LJ,2486,LJ,JNA,2021-02-01,2021-02-28,Month 2,0.0,49,Low-cost
LJ,2487,LJ,JNA,2021-03-01,2021-03-31,Month 3,0.0,50,Low-cost
LJ,2488,LJ,JNA,2021-04-01,2021-04-30,Month 4,0.0,51,Low-cost
LJ,2489,LJ,JNA,2021-05-01,2021-05-31,Month 5,0.0,52,Low-cost
LJ,2490,LJ,JNA,2021-06-01,2021-06-30,Month 6,0.0,53,Low-cost
LJ,2491,LJ,JNA,2021-07-01,2021-07-31,Month 7,0.0,54,Low-cost
LJ,2492,LJ,JNA,2021-08-01,2021-08-31,Month 8,0.0,55,Low-cost
LP,7944,LP,LPE,2017-02-01,2017-02-28,Month 2,0.0,1,Mainline
LP,7945,LP,LPE,2017-03-01,2017-03-31,Month 3,0.0,2,Mainline
LP,7946,LP,LPE,2017-04-01,2017-04-30,Month 4,0.0,3,Mainline
LP,7947,LP,LPE,2017-05-01,2017-05-31,Month 5,0.0,4,Mainline
LP,7948,LP,LPE,2017-06-01,2017-06-30,Month 6,0.0,5,Mainline
LP,7949,LP,LPE,2017-07-01,2017-07-31,Month 7,0.0,6,Mainline
LP,7950,LP,LPE,2017-08-01,2017-08-31,Month 8,0.0,7,Mainline
LP,7951,LP,LPE,2017-09-01,2017-09-30,Month 9,0.0,8,Mainline
LP,7952,LP,LPE,2017-10-01,2017-10-31,Month 10,0.0,9,Mainline
LP,7214,LP,LPE,2017-11-01,2017-11-30,Month 11,0.0,10,Mainline
LP,7215,LP,LPE,2017-12-01,2017-12-31,Month 12,0.0,11,Mainline
LP,7216,LP,LPE,2018-01-01,2018-01-31,Month 1,0.0,12,Mainline
LP,1727,LP,LPE,2018-01-01,2018-12-31,Annual,82.5258485374713,12,Mainline
LP,7217,LP,LPE,2018-02-01,2018-02-28,Month 2,0.0,13,Mainline
LP,7218,LP,LPE,2018-03-01,2018-03-31,Month 3,0.0,14,Mainline
LP,7219,LP,LPE,2018-04-01,2018-04-30,Month 4,0.0,15,Mainline
LP,1728,LP,LPE,2019-01-01,2019-12-31,Annual,82.0304140635013,16,Mainline
LP,1729,LP,LPE,2020-01-01,2020-12-31,Annual,0.0,17,Mainline
LP,670,LP,LPE,2020-01-01,2020-01-31,Month 1,0.0,17,Mainline
LP,671,LP,LPE,2020-02-01,2020-02-29,Month 2,0.0,18,Mainline
LP,672,LP,LPE,2020-03-01,2020-03-31,Month 3,0.0,19,Mainline
LP,673,LP,LPE,2020-04-01,2020-04-30,Month 4,0.0,20,Mainline
LP,674,LP,LPE,2020-05-01,2020-05-31,Month 5,0.0,21,Mainline
LP,675,LP,LPE,2020-06-01,2020-06-30,Month 6,0.0,22,Mainline
LP,676,LP,LPE,2020-07-01,2020-07-31,Month 7,0.0,23,Mainline
LP,708,LP,LPE,2020-08-01,2020-08-31,Month 8,0.0,24,Mainline
LP,709,LP,LPE,2020-09-01,2020-09-30,Month 9,0.0,25,Mainline
LP,710,LP,LPE,2020-10-01,2020-10-31,Month 10,0.0,26,Mainline
LP,711,LP,LPE,2020-11-01,2020-11-30,Month 11,0.0,27,Mainline
LP,712,LP,LPE,2020-12-01,2020-12-31,Month 12,0.0,28,Mainline
LP,713,LP,LPE,2021-01-01,2021-01-31,Month 1,0.0,29,Mainline
LP,714,LP,LPE,2021-02-01,2021-02-28,Month 2,0.0,30,Mainline
LP,715,LP,LPE,2021-03-01,2021-03-31,Month 3,0.0,31,Mainline
LP,716,LP,LPE,2021-04-01,2021-04-30,Month 4,0.0,32,Mainline
LP,717,LP,LPE,2021-05-01,2021-05-31,Month 5,0.0,33,Mainline
LP,718,LP,LPE,2021-06-01,2021-06-30,Month 6,0.0,34,Mainline
LP,719,LP,LPE,2021-07-01,2021-07-31,Month 7,0.0,35,Mainline
LP,720,LP,LPE,2021-08-01,2021-08-31,Month 8,0.0,36,Mainline
LR,6898,LR,LRC,2017-02-01,2017-02-28,Month 2,80.7808227888345,1,Mainline
LR,6899,LR,LRC,2017-03-01,2017-03-31,Month 3,80.0491740415197,2,Mainline
LR,6900,LR,LRC,2017-04-01,2017-04-30,Month 4,81.4394194693447,3,Mainline
LR,6901,LR,LRC,2017-05-01,2017-05-31,Month 5,78.7035407316143,4,Mainline
LR,6902,LR,LRC,2017-06-01,2017-06-30,Month 6,77.9719317556412,5,Mainline
LR,6903,LR,LRC,2017-07-01,2017-07-31,Month 7,84.1326669435335,6,Mainline
LR,6904,LR,LRC,2017-08-01,2017-08-31,Month 8,81.5249256102528,7,Mainline
LR,6905,LR,LRC,2017-09-01,2017-09-30,Month 9,78.9320113848416,8,Mainline
LR,6906,LR,LRC,2017-10-01,2017-10-31,Month 10,78.8077412268023,9,Mainline
LR,6907,LR,LRC,2017-11-01,2017-11-30,Month 11,81.8285548555008,10,Mainline
LR,6908,LR,LRC,2017-12-01,2017-12-31,Month 12,79.9329442881142,11,Mainline
LR,3562,LR,LRC,2018-01-01,2018-12-31,Annual,78.8160848040707,12,Mainline
LR,6909,LR,LRC,2018-01-01,2018-01-31,Month 1,83.4424314142557,12,Mainline
LR,6910,LR,LRC,2018-02-01,2018-02-28,Month 2,80.4517535829019,13,Mainline
LR,6911,LR,LRC,2018-03-01,2018-03-31,Month 3,82.5422954144558,14,Mainline
LR,6912,LR,LRC,2018-04-01,2018-04-30,Month 4,81.7966673375483,15,Mainline
LR,6913,LR,LRC,2018-05-01,2018-05-31,Month 5,78.7112518276199,16,Mainline
LR,6914,LR,LRC,2018-06-01,2018-06-30,Month 6,76.9230492512132,17,Mainline
LR,6915,LR,LRC,2018-07-01,2018-07-31,Month 7,82.5323837015332,18,Mainline
LR,6916,LR,LRC,2018-08-01,2018-08-31,Month 8,78.9231306704496,19,Mainline
LR,6917,LR,LRC,2018-09-01,2018-09-30,Month 9,75.1641157929114,20,Mainline
LR,6918,LR,LRC,2018-10-01,2018-10-31,Month 10,72.8961991867765,21,Mainline
LR,6919,LR,LRC,2018-11-01,2018-11-30,Month 11,75.7721513349812,22,Mainline
LR,6920,LR,LRC,2018-12-01,2018-12-31,Month 12,76.8964657260938,23,Mainline
LR,3563,LR,LRC,2019-01-01,2019-12-31,Annual,79.7692248122048,24,Mainline
LR,4573,LR,LRC,2019-01-01,2019-01-31,Month 1,83.0692206176757,24,Mainline
LR,4574,LR,LRC,2019-02-01,2019-02-28,Month 2,79.4456547952372,25,Mainline
LR,4575,LR,LRC,2019-03-01,2019-03-31,Month 3,78.6779781619187,26,Mainline
LR,4576,LR,LRC,2019-04-01,2019-04-30,Month 4,82.7208989145576,27,Mainline
LR,4577,LR,LRC,2019-05-01,2019-05-31,Month 5,81.2430007099933,28,Mainline
LR,4578,LR,LRC,2019-06-01,2019-06-30,Month 6,80.8457721005147,29,Mainline
LR,4579,LR,LRC,2019-07-01,2019-07-31,Month 7,84.9773916320053,30,Mainline
LR,4580,LR,LRC,2019-08-01,2019-08-31,Month 8,80.9961271728362,31,Mainline
LR,4581,LR,LRC,2019-09-01,2019-09-30,Month 9,75.4704402415892,32,Mainline
LR,4582,LR,LRC,2019-10-01,2019-10-31,Month 10,74.4957419876716,33,Mainline
LR,4583,LR,LRC,2019-11-01,2019-11-30,Month 11,77.9109713087408,34,Mainline
LR,4584,LR,LRC,2019-12-01,2019-12-31,Month 12,74.7266935862065,35,Mainline
LR,1983,LR,LRC,2020-01-01,2020-01-31,Month 1,79.8594935523152,36,Mainline
LR,3564,LR,LRC,2020-01-01,2020-12-31,Annual,69.2722922044283,36,Mainline
LR,2004,LR,LRC,2020-02-01,2020-02-29,Month 2,75.0607814955606,37,Mainline
LR,2005,LR,LRC,2020-03-01,2020-03-31,Month 3,60.1859217673932,38,Mainline
LR,2006,LR,LRC,2020-04-01,2020-04-30,Month 4,35.239852398524,39,Mainline
LR,2007,LR,LRC,2020-05-01,2020-05-31,Month 5,39.0048154093098,40,Mainline
LR,2008,LR,LRC,2020-06-01,2020-06-30,Month 6,3.15923566878981,41,Mainline
LR,2009,LR,LRC,2020-07-01,2020-07-31,Month 7,40.8050132562063,42,Mainline
LR,2010,LR,LRC,2020-08-01,2020-08-31,Month 8,41.7151530483177,43,Mainline
LR,2011,LR,LRC,2020-10-01,2020-10-31,Month 10,30.2211302211302,44,Mainline
LR,2012,LR,LRC,2020-11-01,2020-11-30,Month 11,37.312986235787,45,Mainline
LR,2013,LR,LRC,2020-12-01,2020-12-31,Month 12,40.0011791062375,46,Mainline
LR,2014,LR,LRC,2021-01-01,2021-01-31,Month 1,38.2782475019216,47,Mainline
LR,2015,LR,LRC,2021-02-01,2021-02-28,Month 2,40.9114078907126,48,Mainline
LR,2016,LR,LRC,2021-03-01,2021-03-31,Month 3,51.3803182851575,49,Mainline
LR,2017,LR,LRC,2021-04-01,2021-04-30,Month 4,60.7286077379272,50,Mainline
LR,2018,LR,LRC,2021-05-01,2021-05-31,Month 5,55.2930921769449,51,Mainline
LR,2019,LR,LRC,2021-06-01,2021-06-30,Month 6,62.3564653020469,52,Mainline
LR,2020,LR,LRC,2021-07-01,2021-07-31,Month 7,78.7851411589896,53,Mainline
LS,8392,LS,EXS,2017-02-01,2017-02-28,Month 2,85.9658735668513,1,Leisure
LS,8393,LS,EXS,2017-03-01,2017-03-31,Month 3,88.0064305881789,2,Leisure
LS,8394,LS,EXS,2017-04-01,2017-04-30,Month 4,85.959941274615,3,Leisure
LS,8395,LS,EXS,2017-05-01,2017-05-31,Month 5,85.3631445239398,4,Leisure
LS,8396,LS,EXS,2017-06-01,2017-06-30,Month 6,92.3153084881986,5,Leisure
LS,8397,LS,EXS,2017-07-01,2017-07-31,Month 7,93.1144212804817,6,Leisure
LS,8398,LS,EXS,2017-08-01,2017-08-31,Month 8,95.6340674936093,7,Leisure
LS,8399,LS,EXS,2017-09-01,2017-09-30,Month 9,93.7247825969421,8,Leisure
LS,8400,LS,EXS,2017-10-01,2017-10-31,Month 10,91.3378283570898,9,Leisure
LS,8401,LS,EXS,2017-11-01,2017-11-30,Month 11,88.8575370283363,10,Leisure
LS,8402,LS,EXS,2017-12-01,2017-12-31,Month 12,83.936478961256,11,Leisure
LS,8403,LS,EXS,2018-01-01,2018-01-31,Month 1,86.7768647495896,12,Leisure
LS,1710,LS,EXS,2018-01-01,2018-12-31,Annual,91.4330568056966,12,Leisure
LS,8404,LS,EXS,2018-02-01,2018-02-28,Month 2,89.4368329968272,13,Leisure
LS,8405,LS,EXS,2018-03-01,2018-03-31,Month 3,91.0894913587731,14,Leisure
LS,8406,LS,EXS,2018-04-01,2018-04-30,Month 4,89.5073507210855,15,Leisure
LS,8407,LS,EXS,2018-05-01,2018-05-31,Month 5,87.2245346692034,16,Leisure
LS,8408,LS,EXS,2018-06-01,2018-06-30,Month 6,93.5311081867504,17,Leisure
LS,8409,LS,EXS,2018-07-01,2018-07-31,Month 7,93.9712062773472,18,Leisure
LS,8410,LS,EXS,2018-08-01,2018-08-31,Month 8,95.9418673436237,19,Leisure
LS,8411,LS,EXS,2018-09-01,2018-09-30,Month 9,93.5332558350353,20,Leisure
LS,8412,LS,EXS,2018-10-01,2018-10-31,Month 10,90.447590340448,21,Leisure
LS,8413,LS,EXS,2018-11-01,2018-11-30,Month 11,85.2076777696929,22,Leisure
LS,8414,LS,EXS,2018-12-01,2018-12-31,Month 12,84.0168356935255,23,Leisure
LS,9845,LS,EXS,2019-01-01,2019-01-31,Month 1,86.6822089199653,24,Leisure
LS,1711,LS,EXS,2019-01-01,2019-12-31,Annual,90.8882758158315,24,Leisure
LS,9846,LS,EXS,2019-02-01,2019-02-28,Month 2,89.6208113967172,25,Leisure
LS,9847,LS,EXS,2019-03-01,2019-03-31,Month 3,91.6266042536443,26,Leisure
LS,9848,LS,EXS,2019-04-01,2019-04-30,Month 4,88.8767520924109,27,Leisure
LS,9849,LS,EXS,2019-05-01,2019-05-31,Month 5,84.9095833212763,28,Leisure
LS,9850,LS,EXS,2019-06-01,2019-06-30,Month 6,91.3477497729348,29,Leisure
LS,9851,LS,EXS,2019-07-01,2019-07-31,Month 7,92.5318959148494,30,Leisure
LS,9852,LS,EXS,2019-08-01,2019-08-31,Month 8,95.9319174643778,31,Leisure
LS,9853,LS,EXS,2019-09-01,2019-09-30,Month 9,93.6982971662367,32,Leisure
LS,9854,LS,EXS,2019-10-01,2019-10-31,Month 10,91.0814124840963,33,Leisure
LS,9102,LS,EXS,2019-11-01,2019-11-30,Month 11,87.098972906616,34,Leisure
LS,9103,LS,EXS,2019-12-01,2019-12-31,Month 12,87.0661782731359,35,Leisure
LS,1712,LS,EXS,2020-01-01,2020-12-31,Annual,73.4250985180663,36,Leisure
LS,573,LS,EXS,2020-01-01,2020-01-31,Month 1,90.9761625428476,36,Leisure
LS,574,LS,EXS,2020-02-01,2020-02-29,Month 2,91.5632583734616,37,Leisure
LS,575,LS,EXS,2020-05-01,2020-05-31,Month 5,77.4795799299883,38,Leisure
LS,576,LS,EXS,2020-06-01,2020-06-30,Month 6,64.2896324739441,39,Leisure
LS,577,LS,EXS,2020-07-01,2020-07-31,Month 7,48.0759355315911,40,Leisure
LS,578,LS,EXS,2020-08-01,2020-08-31,Month 8,77.4045272776963,41,Leisure
LS,579,LS,EXS,2020-09-01,2020-09-30,Month 9,66.9668463266855,42,Leisure
LS,580,LS,EXS,2020-10-01,2020-10-31,Month 10,61.3375068643602,43,Leisure
LS,581,LS,EXS,2020-11-01,2020-11-30,Month 11,56.1995273463876,44,Leisure
LS,582,LS,EXS,2020-12-01,2020-12-31,Month 12,42.1242859141298,45,Leisure
LS,583,LS,EXS,2021-01-01,2021-01-31,Month 1,0.0,46,Leisure
LS,584,LS,EXS,2021-02-01,2021-02-28,Month 2,21.3021491782554,47,Leisure
LS,585,LS,EXS,2021-03-01,2021-03-31,Month 3,25.1042851725446,48,Leisure
LS,586,LS,EXS,2021-04-01,2021-04-30,Month 4,23.5294117647059,49,Leisure
LS,587,LS,EXS,2021-05-01,2021-05-31,Month 5,82.2321947976398,50,Leisure
LS,588,LS,EXS,2021-06-01,2021-06-30,Month 6,26.7799724391364,51,Leisure
LS,589,LS,EXS,2021-07-01,2021-07-31,Month 7,44.279994426304,52,Leisure
LS,590,LS,EXS,2021-08-01,2021-08-31,Month 8,54.1608847958639,53,Leisure
LS,591,LS,EXS,2021-09-01,2021-09-30,Month 9,58.1724946226177,54,Leisure
LS,592,LS,EXS,2021-10-01,2021-10-31,Month 10,74.9699716548033,55,Leisure
LX,4244,LX,SWR,2017-02-01,2017-02-28,Month 2,77.0229007633588,1,Mainline
LX,4245,LX,SWR,2017-03-01,2017-03-31,Month 3,77.9903203503111,2,Mainline
LX,4246,LX,SWR,2017-04-01,2017-04-30,Month 4,84.1413488472312,3,Mainline
LX,4247,LX,SWR,2017-05-01,2017-05-31,Month 5,79.3886648270006,4,Mainline
LX,4248,LX,SWR,2017-06-01,2017-06-30,Month 6,82.7889447236181,5,Mainline
LX,4249,LX,SWR,2017-07-01,2017-07-31,Month 7,87.0262954369683,6,Mainline
LX,4250,LX,SWR,2017-08-01,2017-08-31,Month 8,86.8042039704165,7,Mainline
LX,4251,LX,SWR,2017-09-01,2017-09-30,Month 9,82.1450335161487,8,Mainline
LX,4252,LX,SWR,2017-10-01,2017-10-31,Month 10,82.8803245436106,9,Mainline
LX,4253,LX,SWR,2017-11-01,2017-11-30,Month 11,77.2330423102754,10,Mainline
LX,4254,LX,SWR,2017-12-01,2017-12-31,Month 12,79.4877408056042,11,Mainline
LX,3871,LX,SWR,2018-01-01,2018-12-31,Annual,83.0903587792652,12,Mainline
LX,4255,LX,SWR,2018-01-01,2018-01-31,Month 1,75.1377562265814,12,Mainline
LX,4256,LX,SWR,2018-02-01,2018-02-28,Month 2,77.2182254196643,13,Mainline
LX,4257,LX,SWR,2018-03-01,2018-03-31,Month 3,82.3270440251572,14,Mainline
LX,4258,LX,SWR,2018-04-01,2018-04-30,Month 4,84.3908135461269,15,Mainline
LX,4259,LX,SWR,2018-05-01,2018-05-31,Month 5,81.2735568339615,16,Mainline
LX,4260,LX,SWR,2018-06-01,2018-06-30,Month 6,84.7001934235977,17,Mainline
LX,4261,LX,SWR,2018-07-01,2018-07-31,Month 7,87.7528901734104,18,Mainline
LX,4262,LX,SWR,2018-08-01,2018-08-31,Month 8,87.7947794779478,19,Mainline
LX,4263,LX,SWR,2018-09-01,2018-09-30,Month 9,84.9089500193723,20,Mainline
LX,4264,LX,SWR,2018-10-01,2018-10-31,Month 10,83.1149927219796,21,Mainline
LX,4265,LX,SWR,2018-11-01,2018-11-30,Month 11,78.9011437908497,22,Mainline
LX,4266,LX,SWR,2018-12-01,2018-12-31,Month 12,80.6206088992974,23,Mainline
LX,3872,LX,SWR,2019-01-01,2019-12-31,Annual,83.8847216739045,24,Mainline
